assetNumber,symbol,date,holding,assetName,owner,assetType,expenseRatio,assetClass,sector,broadTheme,msciEsgRate,msciWtdAvgCarbonIntensity,sustainScore
E1IRA,AAPL,10/3/22,APPLE INC. (XNAS:AAPL),APPLE INC.,JOSH,EQUITY,0.00,US EQUITIES,"Computers, Phones & Household Electronics",Computer Hardware/Wireless Devices,A,0,16.68
E2IRA,AMT,10/3/22,American Tower Corp (XNYS:AMT),American Tower Corp,JOSH,EQUITY,0.00,REAL ESTATE,Residential & Commercial REIT,Data Infrastructure,AA,0,10.89
E3IRA,BIP,10/3/22,BROOKFIELD INFRASTRUCTUR PARTNER UNT (XNYS:BIP),BROOKFIELD INFRASTRUCTUR PARTNER UNT,JOSH,EQUITY,0.00,INFRASTRUCTURE,,Infrastructure,NR,0,41.73
E4IRA,BLK,10/3/22,"BLACKROCK, INC. (XNYS:BLK)","BLACKROCK, INC.",JOSH,PRIVATE EQUITY,0.00,PRIVATE EQUITY,Investment Banking & Investment Services,,AA,0,18.29
E5IRA,BX,10/3/22,Blackstone Inc (XNYS:BX),Blackstone Inc,JOSH,PRIVATE EQUITY,0.00,PRIVATE EQUITY,Investment Banking & Investment Services,,BB,0,25.70
ETF1IRA,CIBR,10/3/22,FT II:Nsdq Cybersecurity (XNAS:CIBR),FT II:Nsdq Cybersecurity,JOSH,ETF,0.01,US EQUITIES,,Data Infrastructure,AA,9.80,19.01
E6IRA,COF,10/3/22,CAPITAL ONE FINANCIAL CORPORATION (XNYS:COF),CAPITAL ONE FINANCIAL CORPORATION,JOSH,EQUITY,0.00,US EQUITIES,Banking Services,Fintech,BB,0,22.62
ETF2IRA,DBA,10/3/22,Invesco DB Agriculture Fund (ARCX:DBA),Invesco DB Agriculture Fund,JOSH,ETF,0.01,COMMODITIES,,,NR,0,0.00
ETF3IRA,DBB,10/3/22,Invesco DB Base Metals Fund (ARCX:DBB),Invesco DB Base Metals Fund,JOSH,ETF,0.01,COMMODITIES,,,NR,0,0.00
ETF4PIF,ESGD,10/3/22,iShares ESG MSCI EAFE ETF (XNAS:ESGD),iShares ESG MSCI EAFE ETF,JOSH,ETF,0.00,FOREIGN DEVELOPED EQUITIES,,,AAA,105.10,20.58
ETF4IRA,ESGD,10/3/22,iShares ESG MSCI EAFE ETF (XNAS:ESGD),iShares ESG MSCI EAFE ETF,JOSH,ETF,0.00,FOREIGN DEVELOPED EQUITIES,,,AAA,105.10,20.58
ETF4HSA,ESGD,10/3/22,iShares ESG MSCI EAFE ETF (XNAS:ESGD),iShares ESG MSCI EAFE ETF,JOSH_FELICIA,ETF,0.00,FOREIGN DEVELOPED EQUITIES,,,AAA,105.10,20.58
ETF5PIF,ESGE,10/3/22,iShares:ESG A MSCI EM (XNAS:ESGE),iShares:ESG A MSCI EM,JOSH,ETF,0.00,EMERGING MARKET EQUITIES,,,AAA,178.00,23.66
ETF5IRA,ESGE,10/3/22,iShares:ESG A MSCI EM (XNAS:ESGE),iShares:ESG A MSCI EM,JOSH,ETF,0.00,EMERGING MARKET EQUITIES,,,AAA,178.00,23.66
ETF4HSA,ESGE,10/3/22,iShares:ESG A MSCI EM (XNAS:ESGE),iShares:ESG A MSCI EM,JOSH_FELICIA,ETF,0.00,EMERGING MARKET EQUITIES,,,AAA,178.00,23.66
ETF6PIF,ESGU,10/3/22,iShares:ESG A MSCI USA (XNAS:ESGU),iShares:ESG A MSCI USA,JOSH,ETF,0.00,US EQUITIES,,,AAA,104.70,20.70
ETF6IRA,ESGU,10/3/22,iShares:ESG A MSCI USA (XNAS:ESGU),iShares:ESG A MSCI USA,JOSH,ETF,0.00,US EQUITIES,,,AAA,104.70,20.70
ETF1HSA,ESGU,10/3/22,iShares:ESG A MSCI USA (XNAS:ESGU),iShares:ESG A MSCI USA,JOSH_FELICIA,ETF,0.00,US EQUITIES,,,AAA,104.70,20.70
ETF7IRA,ESML,10/3/22,iShares:ESG A MSCI USA S (BATS:ESML),iShares:ESG A MSCI USA S,JOSH,ETF,0.00,US EQUITIES,,,AA,112.80,24.69
ETF3HSA,ESML,10/3/22,iShares:ESG A MSCI USA S (BATS:ESML),iShares:ESG A MSCI USA S,JOSH,ETF,0.00,US EQUITIES,,,AA,112.80,24.69
E7IRA,F,10/3/22,FORD MOTOR COMPANY (XNYS:F),FORD MOTOR COMPANY,JOSH,EQUITY,0.00,US EQUITIES,Automobiles & Auto Parts,,B,0.00,29.95
E8IRA,GFS,10/3/22,GLOBALFOUNDRIES INC. (XNAS:GFS),GLOBALFOUNDRIES INC.,JOSH,EQUITY,0.00,US EQUITIES,Semiconductors & Semiconductor Equipment,Data Infrastructure,NR,0.00,0.00
E9PIF,GOGL,10/3/22,Golden Ocean Group Limited. (XNAS:GOGL),Golden Ocean Group Limited.,JOSH,EQUITY,0.00,FOREIGN DEVELOPED EQUITIES,Freight & Logistics Services,,NR,0.00,29.91
ETF8IRA,GOVT,10/3/22,iShares US Treasury Bond ETF (BATS:GOVT),iShares US Treasury Bond ETF,JOSH,ETF,0.00,US BONDS,,,A,180.90,12.86
